iter	Logloss
0	0.648499779
1	0.6114565869
2	0.5843009556
3	0.5655544589
4	0.5484898491
5	0.5362500239
6	0.5260996153
7	0.517375514
8	0.5111180679
9	0.5057574756
10	0.5016815576
11	0.4981052648
12	0.4957497209
13	0.4929759375
14	0.4912345155
15	0.4892611714
16	0.4878889031
17	0.4867211428
18	0.4850066725
19	0.4835560781
20	0.4824752046
21	0.4817116415
22	0.4810174346
23	0.480357279
24	0.4796917686
25	0.4791089154
26	0.4783942447
27	0.4779585441
28	0.4772362047
29	0.4768870705
30	0.4765113861
31	0.4759744339
32	0.4757547038
33	0.4754746931
34	0.4752194375
35	0.4749542198
36	0.4747677557
37	0.4744636493
38	0.4743013796
39	0.4741258211
40	0.4739215362
41	0.4737418406
42	0.4735734831
43	0.4733789732
44	0.4731348965
45	0.4728676166
46	0.4726379882
47	0.4725376826
48	0.4723694496
49	0.4722041653
50	0.4720752846
51	0.4719251502
52	0.4718178982
53	0.4716758169
54	0.4714320389
55	0.4713172413
56	0.4711869387
57	0.4708719802
58	0.4707200879
59	0.4706191489
60	0.4704794596
61	0.4703092976
62	0.4701756117
63	0.4699791944
64	0.4697620701
65	0.4696356139
66	0.469482736
67	0.469363957
68	0.4692771236
69	0.4691577738
70	0.4690259598
71	0.4688916193
72	0.468802208
73	0.4687121034
74	0.4685404903
75	0.4684125749
76	0.4683098001
77	0.4682287103
78	0.4681389859
79	0.46797766
80	0.4678728343
81	0.4677147752
82	0.4676246755
83	0.467553646
84	0.4674940415
85	0.4673033553
86	0.4672167554
87	0.4670908701
88	0.4670114143
89	0.4669198917
90	0.4668128892
91	0.4667665364
92	0.4667108998
93	0.4666147039
94	0.4665219779
95	0.4663972035
96	0.4661876452
97	0.4661161514
98	0.4660374926
99	0.4659498781
100	0.4658299286
101	0.4656886219
102	0.4655982285
103	0.4654735321
104	0.4653714218
105	0.465269852
106	0.4651993383
107	0.4651074053
108	0.465049499
109	0.4649686264
110	0.4649121505
111	0.4648281879
112	0.46466922
113	0.4645373336
114	0.4644802648
115	0.4643840858
116	0.4642991409
117	0.4642301411
118	0.4641575824
119	0.4640755895
120	0.4640081827
121	0.4639236155
122	0.4638316612
123	0.4637829243
124	0.4636886708
125	0.4636125176
126	0.4635411437
127	0.4634715134
128	0.4634149368
129	0.4633494055
130	0.4632834592
131	0.4631903398
132	0.4631035727
133	0.4630395457
134	0.4629208253
135	0.4627767042
136	0.4626819838
137	0.4625895713
138	0.4624688218
139	0.462378555
140	0.4623208695
141	0.4621872884
142	0.462089743
143	0.4620097341
144	0.4618993417
145	0.4618245787
146	0.4617731331
147	0.4616876243
148	0.4615992127
149	0.4615251727
150	0.4614571165
151	0.4613509813
152	0.4612601617
153	0.4611537425
154	0.4610645557
155	0.4609774509
156	0.4609045686
157	0.4608210081
158	0.4607262654
159	0.4606047982
160	0.4605228676
161	0.4604294183
162	0.4603353579
163	0.4602845565
164	0.4602007619
165	0.4601514058
166	0.4600789595
167	0.460026978
168	0.4599525384
169	0.4598435264
170	0.4597713219
171	0.4597065607
172	0.4596456556
173	0.4595886828
174	0.4595272395
175	0.4594577363
176	0.4593636897
177	0.4592748032
178	0.4591988676
179	0.4591420389
180	0.4590803861
181	0.4589979602
182	0.4589288189
183	0.4588707121
184	0.4587993045
185	0.4587217929
186	0.4586426541
187	0.458556726
188	0.4584496082
189	0.4583454177
190	0.4582692343
191	0.4581870215
192	0.458117045
193	0.4580571545
194	0.4579689264
195	0.457898487
196	0.4578076638
197	0.4577132533
198	0.4576252107
199	0.4575576769
200	0.4575029527
201	0.4574616343
202	0.4574111408
203	0.4573494811
204	0.4572865666
205	0.4572283402
206	0.4571780004
207	0.4571281455
208	0.4570190472
209	0.4569452969
210	0.4568548587
211	0.456793409
212	0.4567189917
213	0.4566573944
214	0.4565740152
215	0.4565155482
216	0.4564539494
217	0.4564030029
218	0.4563353914
219	0.4562645889
220	0.4561924848
221	0.456116605
222	0.4560785737
223	0.4559973252
224	0.4559118833
225	0.4558367502
226	0.4557751746
227	0.4557096565
228	0.4556560161
229	0.4555993423
230	0.4555403523
231	0.4554760814
232	0.4554102484
233	0.4553237551
234	0.4552649877
235	0.4551629527
236	0.4551161119
237	0.4550632418
238	0.4550067247
239	0.4549550322
240	0.4549247296
241	0.4548716906
242	0.4548240412
243	0.4547782238
244	0.4547307433
245	0.45467119
246	0.4546101251
247	0.4545455747
248	0.4544859718
249	0.454422104
250	0.4543795938
251	0.4543280621
252	0.4542367312
253	0.454198043
254	0.4541523738
255	0.4541133619
256	0.4540580147
257	0.4539740792
258	0.4539221479
259	0.4538544401
260	0.4538095792
261	0.4537429051
262	0.4537094729
263	0.4536555912
264	0.4535989408
265	0.4535514684
266	0.453497814
267	0.4534475351
268	0.453374831
269	0.4533120535
270	0.4532595395
271	0.4532067056
272	0.4531428743
273	0.4531137197
274	0.4530696848
275	0.4530149799
276	0.4529839623
277	0.4529429456
278	0.4528865071
279	0.452842231
280	0.4527922631
281	0.4527242703
282	0.4526851944
283	0.4526340404
284	0.4525996521
285	0.4525442718
286	0.4524917354
287	0.4524401996
288	0.4523956802
289	0.4523383692
290	0.4523051237
291	0.4522466749
292	0.452215739
293	0.4521367353
294	0.4520700674
295	0.4520372881
296	0.4519664659
297	0.4519051026
298	0.4518728255
299	0.4518174027
300	0.4517577847
301	0.4516972002
302	0.4516513079
303	0.4515775815
304	0.4515168672
305	0.451484525
306	0.4514195321
307	0.4513811851
308	0.4513270561
309	0.4512658472
310	0.4512179887
311	0.451176868
312	0.4511341051
313	0.4510932139
314	0.4510417356
315	0.4509793059
316	0.4509370136
317	0.4508805252
318	0.4508265686
319	0.4507732735
320	0.4507246062
321	0.450680874
322	0.4506359322
323	0.4505825285
324	0.4505321327
325	0.450490194
326	0.4504154128
327	0.4503764858
328	0.4503382114
329	0.4502843074
330	0.4502322257
331	0.4501878367
332	0.450136906
333	0.4500760078
334	0.4500120086
335	0.4499720553
336	0.449929945
337	0.449886143
338	0.4498412997
339	0.44980474
340	0.4497574305
341	0.4497222123
342	0.449671894
343	0.449623483
344	0.4495753139
345	0.4495377496
346	0.4494862378
347	0.4494418623
348	0.4493976861
349	0.4493553637
350	0.4493217932
351	0.4492749388
352	0.4492296344
353	0.449190139
354	0.4491282669
355	0.4490719366
356	0.4490436797
357	0.4489973591
358	0.4489547966
359	0.4489101397
360	0.4488737683
361	0.448828336
362	0.4487835974
363	0.4487307101
364	0.4486828319
365	0.4486465905
366	0.4485937219
367	0.4485483624
368	0.4485152792
369	0.4484669545
370	0.4484329355
371	0.4483941982
372	0.4483544742
373	0.448307795
374	0.4482203942
375	0.4481893863
376	0.4481464836
377	0.4480912555
378	0.4480404424
379	0.4479975307
380	0.4479608624
381	0.4479271463
382	0.447882294
383	0.4478491318
384	0.4477901595
385	0.4477423838
386	0.4476986513
387	0.447670728
388	0.4476393645
389	0.44757594
390	0.4475342159
391	0.4474787143
392	0.4474483363
393	0.4473982649
394	0.4473518224
395	0.4473275045
396	0.447292769
397	0.4472412104
398	0.4471945384
399	0.4471620787
400	0.4471332184
401	0.4470956807
402	0.4470521315
403	0.4470099617
404	0.4469596392
405	0.446915667
406	0.4468541672
407	0.4468249507
408	0.4467706296
409	0.4467337226
410	0.4466927369
411	0.4466678052
412	0.4466209268
413	0.4465862435
414	0.4465182059
415	0.4464861158
416	0.4464349864
417	0.4463863144
418	0.4463391861
419	0.4462999105
420	0.4462577805
421	0.4462116792
422	0.4461712255
423	0.4461293958
424	0.4460850104
425	0.4460426988
426	0.4459908496
427	0.4459496783
428	0.4459032387
429	0.445877704
430	0.4458310462
431	0.4457788232
432	0.4457263681
